tsne_1,tsne_2,sirna_id,predicted,experiment,plate,well
32.19352,36.605976,1129,1129,HUVEC-14,3,M22
17.214266,41.664272,1129,1129,HUVEC-02,4,F15
23.060556,-0.9844027,1133,1133,U2OS-02,1,C15
12.1801,48.190796,1115,1115,RPE-08,2,M03
-10.804372,-33.880337,1117,1117,U2OS-02,4,J11
26.783876,-54.908375,1131,1131,RPE-11,2,C03
65.79053,-6.014978,1124,1124,HUVEC-05,2,J22
1.8647567,41.532196,1124,1124,U2OS-05,2,M22
74.210075,-6.118595,1124,1124,HUVEC-17,3,J19
-12.285454,65.69837,1134,1134,HUVEC-15,4,F19
10.701545,-4.361776,1138,1138,RPE-09,3,B02
-1.524925,-26.880693,1128,1128,RPE-11,1,J11
2.5168362,-9.224543,1138,1138,HUVEC-15,4,B02
24.828451,-37.924335,1130,1130,HUVEC-22,2,C22
-25.000675,-8.622038,1136,1136,HEPG2-10,4,J07
28.374563,-20.974173,1130,1130,HEPG2-07,4,J11
20.077467,-11.751704,1116,1116,HEPG2-07,1,J03
-1.7089942,-27.046854,1128,1128,RPE-04,1,H03
44.431942,-2.427956,1108,1108,HUVEC-22,3,C03
8.108821,-68.310036,1131,1131,HUVEC-16,2,C19
-7.4094224,37.024143,1134,1134,HEPG2-10,4,H03
-11.4844675,-34.70706,1117,1117,U2OS-04,2,M19
-18.414436,-42.626686,1135,1135,HEPG2-09,3,C11
-0.31130558,-51.7935,1128,1128,HUVEC-09,2,H22
11.321957,-65.14487,1131,1131,HUVEC-10,3,M22
-18.36748,31.902466,1137,1137,HEPG2-08,2,C22
-15.156732,18.055141,1126,1126,HUVEC-16,4,J19
-41.478947,12.131783,1125,1125,RPE-06,4,C15
14.768531,-65.224884,1131,1131,HUVEC-05,3,F19
-28.046461,40.24948,1137,1137,HUVEC-07,1,M22
45.916092,-20.235435,1133,1133,HUVEC-03,4,H07
23.277044,-37.00486,1130,1130,HUVEC-14,3,J19
-34.574677,-20.574251,1136,1136,RPE-08,1,H11
7.8440676,5.800278,1138,1138,HEPG2-10,1,B02
-40.999607,49.60411,1137,1137,RPE-08,2,M11
8.781733,-66.80548,1131,1131,HUVEC-14,3,F15
-29.84371,-36.728874,1135,1135,RPE-03,4,M15
-31.227787,-37.473385,1135,1135,RPE-04,1,M15
-2.0528817,-25.821836,1117,1117,RPE-02,1,M19
26.68519,8.186943,1108,1108,HEPG2-11,2,M19
-30.996866,42.06743,1137,1137,HUVEC-24,1,F22
-25.77536,11.629035,1125,1125,HEPG2-04,3,C19
8.902498,-67.304924,1131,1131,HUVEC-03,1,J15
-19.023258,-23.65248,1128,1128,HEPG2-10,3,F22
-27.62082,41.063778,1137,1137,HUVEC-17,4,H07
-54.922894,-21.199123,1109,1109,HUVEC-21,1,M03
-34.311905,21.288214,1125,1125,HUVEC-16,2,M19
72.32058,-9.048136,1124,1124,HUVEC-13,3,F19
-53.46662,28.69131,1116,1116,HUVEC-04,4,H07
10.60799,49.140644,1115,1115,RPE-05,2,F22
-54.135387,-22.28528,1109,1109,HUVEC-04,2,J07
-13.758251,14.843168,1126,1126,HUVEC-02,1,M07
-19.946823,-58.687397,1135,1135,HUVEC-04,4,C03
-7.5622134,34.606655,1134,1134,HEPG2-05,3,H19
-10.64805,-33.66834,1117,1117,U2OS-03,3,H11
-18.70898,31.036825,1137,1137,HEPG2-02,1,H19
-27.76495,40.489544,1137,1137,HUVEC-07,4,M22
-14.760606,63.75171,1134,1134,HUVEC-01,1,H03
0.39060366,-5.767903,1138,1138,HUVEC-04,4,B02
-6.3083463,-52.692566,1117,1117,HUVEC-06,3,M03
8.908471,-35.50553,1128,1128,RPE-01,4,F07
-18.247087,-40.158623,1135,1135,HEPG2-04,3,M19
-54.046947,29.06544,1116,1116,HUVEC-12,3,C15
-19.232525,42.559967,1137,1137,U2OS-03,1,H22
7.3706975,5.8858953,1138,1138,HEPG2-07,2,B21
-54.225876,3.4068348,1123,1123,U2OS-03,2,C03
53.346233,27.201012,1121,1121,HUVEC-21,4,J15
72.0392,-9.65884,1124,1124,HUVEC-23,4,F11
72.507484,-8.6451845,1124,1124,HUVEC-12,4,C03
-11.609591,62.777184,1134,1134,HUVEC-08,1,H03
-0.054603722,25.231962,1126,1126,HEPG2-08,1,J11
-41.24525,47.622868,1137,1137,RPE-03,4,M22
10.574836,-64.98047,1131,1131,HUVEC-06,1,H11
17.150686,4.97807,1133,1133,HEPG2-09,4,M11
-41.377758,48.434013,1137,1137,RPE-02,1,H19
15.368499,4.7317266,1133,1133,HEPG2-02,1,C03
2.7288938,-51.036934,1117,1117,HUVEC-18,4,F15
8.04115,35.033592,1124,1124,HEPG2-04,2,M15
16.371883,4.1713986,1133,1133,HEPG2-07,1,M22
41.62671,19.636847,1121,1121,RPE-04,1,M22
-23.425167,-56.834934,1135,1135,HUVEC-10,2,H07
60.791954,9.080078,1121,1121,HEPG2-03,2,H03
-34.520435,-21.283012,1136,1136,RPE-07,1,J19
54.99643,25.943962,1121,1121,HUVEC-11,2,H11
-21.48046,-21.709743,1117,1117,HEPG2-09,1,M07
-30.899826,23.508276,1125,1125,HUVEC-14,2,H07
10.366009,-38.243965,1128,1128,HUVEC-02,4,M03
-58.69418,10.693083,1123,1123,RPE-01,2,J22
3.3939054,70.86859,1134,1134,RPE-04,3,C07
-10.130575,18.89586,1126,1126,HUVEC-23,1,M07
31.85906,35.93479,1129,1129,HUVEC-14,3,M22
-32.903137,20.246466,1125,1125,HUVEC-15,1,F22
31.68485,-34.033253,1130,1130,U2OS-01,3,F07
-29.617718,42.19604,1137,1137,HUVEC-19,3,H19
-71.71586,-2.8421402,1123,1123,HUVEC-04,4,C22
-0.27789998,-49.86339,1128,1128,HUVEC-12,2,C15
-1.9348012,-50.721863,1128,1117,HUVEC-20,4,C15
23.35552,-1.0563266,1133,1133,U2OS-01,3,H03
-22.868086,-58.273808,1135,1135,HUVEC-14,2,C11
42.589283,0.12700395,1108,1108,HUVEC-23,4,F19
-11.365366,65.01791,1134,1134,HUVEC-15,1,H15
-8.821971,36.419815,1134,1134,HEPG2-11,2,C07
-55.30815,30.41375,1116,1116,HUVEC-17,1,M19
-5.359835,-54.126976,1117,1117,HUVEC-06,2,H22
-11.428901,66.000854,1134,1134,HUVEC-11,4,J15
-45.609486,-41.56977,1109,1109,RPE-07,1,M19
-26.191744,-44.84328,1135,1135,U2OS-04,2,J19
34.921295,36.81152,1129,1129,HUVEC-18,3,J15
11.290291,48.216778,1115,1115,RPE-09,4,H03
-42.19501,49.367542,1137,1137,RPE-09,4,M11
-10.774422,-16.261343,1116,1116,RPE-02,4,H03
-19.065357,42.489414,1137,1137,U2OS-02,2,J19
16.549507,4.5327997,1133,1133,HEPG2-10,3,H15
11.1707,-4.4904294,1138,1138,RPE-01,1,B02
-59.626095,9.69228,1123,1123,RPE-05,1,H11
18.967478,-11.321914,1116,1116,HEPG2-08,3,H15
-68.132675,-5.506049,1123,1123,HUVEC-11,2,F15
-21.576307,-21.698017,1128,1136,HEPG2-09,4,J11
-11.550501,-34.80822,1117,1117,U2OS-04,4,M22
-19.195253,-57.723938,1135,1135,HUVEC-06,1,M03
-18.23457,0.43678132,1109,1109,HEPG2-02,3,H15
14.764906,-65.229614,1131,1131,HUVEC-05,3,F19
54.20335,25.186985,1121,1121,HUVEC-04,4,F11
-22.826456,-57.250957,1135,1135,HUVEC-20,1,M11
39.8311,-39.322056,1130,1130,RPE-09,4,M22
-5.2243123,3.4593558,1125,1125,U2OS-03,2,F07
-10.538537,63.620407,1134,1134,HUVEC-08,4,C03
58.126186,9.77803,1121,1121,HEPG2-01,3,H22
19.498999,57.96613,1115,1115,HUVEC-23,2,C22
-2.9744658,17.24614,1126,1126,RPE-02,4,H11
-20.820866,-56.955475,1135,1135,HUVEC-23,4,J15
-51.57224,-22.511654,1109,1109,HUVEC-08,4,F07
9.513468,-3.5027483,1138,1138,RPE-03,3,F22
28.925913,23.77784,1129,1129,RPE-04,3,J11
10.495496,47.858852,1115,1115,RPE-01,3,H22
-16.80038,1.4922923,1109,1109,HEPG2-07,2,M19
6.114307,-38.08328,1128,1128,HEPG2-03,4,H15
-0.06652016,49.25461,1124,1124,RPE-08,4,J15
-32.46284,-20.422333,1136,1136,RPE-08,4,J03
-32.701767,21.230675,1125,1125,HUVEC-04,1,C22
-5.577357,-55.065704,1117,1117,HUVEC-03,3,M22
16.84963,-22.15656,1131,1131,HEPG2-11,4,H15
-54.257343,-24.368843,1109,1109,HUVEC-10,3,H19
-13.667896,19.261957,1126,1126,HUVEC-09,2,M15
42.195686,20.157927,1121,1121,RPE-04,4,H03
18.805006,-11.872108,1116,1116,HEPG2-02,4,M19
-16.371647,-0.06817374,1109,1109,HEPG2-10,1,C11
0.10448085,15.8069935,1126,1126,RPE-07,4,H11
12.153766,-69.68624,1131,1131,HUVEC-23,4,H19
15.119952,4.689727,1133,1133,HEPG2-08,2,J11
11.795327,-71.37859,1131,1131,HUVEC-18,2,J22
69.32679,-7.4615083,1124,1124,HUVEC-24,1,C22
-23.445839,-8.723229,1136,1136,HEPG2-10,1,M03
22.875711,28.827906,1129,1129,HEPG2-07,4,M22
-10.42697,64.3734,1134,1134,HUVEC-20,1,J07
16.537539,-21.451893,1131,1131,HEPG2-10,2,J03
-15.757513,2.1897125,1109,1109,HEPG2-05,2,C22
-46.90401,-42.277752,1109,1109,RPE-10,4,F03
15.987695,-23.08932,1131,1131,HEPG2-03,1,M03
-23.2476,-57.66909,1135,1135,HUVEC-20,2,F03
52.381256,25.81657,1121,1121,HUVEC-20,3,J07
71.59362,-5.876802,1124,1124,HUVEC-17,2,C03
-0.92306954,-9.155632,1138,1138,HUVEC-11,2,B02
10.623809,-5.0559144,1138,1138,RPE-04,1,B02
3.4811728,-7.782758,1138,1138,HUVEC-23,4,J19
-1.5304128,23.99442,1126,1126,HEPG2-05,1,J22
-19.66999,32.8262,1137,1137,HEPG2-04,3,J11
20.224361,59.228336,1115,1115,HUVEC-23,1,C03
21.666605,42.464413,1129,1115,RPE-02,3,H07
-17.172327,2.8374474,1109,1109,HEPG2-03,3,H11
-1.8719016,48.187,1124,1124,RPE-02,4,C07
26.597057,-55.967354,1131,1131,RPE-05,1,H15
38.075527,10.089484,1108,1108,RPE-11,3,M19
12.379332,-70.25613,1131,1131,HUVEC-20,1,C11
-13.608438,63.41933,1134,1134,HUVEC-08,3,C19
-30.048548,43.06229,1137,1137,HUVEC-17,4,H07
-2.2647648,-53.549976,1117,1117,HUVEC-16,3,H19
30.239714,22.361235,1129,1129,RPE-03,4,J15
-45.33889,-8.370933,1136,1136,HUVEC-16,1,M22
47.229572,-19.315033,1133,1133,HUVEC-07,4,M07
1.4221117,41.399784,1124,1124,U2OS-03,4,J11
-27.270294,39.53336,1137,1137,HUVEC-22,3,J15
31.920033,-33.993675,1130,1130,U2OS-01,2,J07
-32.974106,20.960295,1125,1125,HUVEC-10,1,C11
-0.13850391,-8.344905,1138,1138,HUVEC-13,1,B02
-18.088943,32.866592,1137,1137,HEPG2-09,4,J22
-42.29259,-8.072418,1136,1136,HUVEC-12,1,M22
-33.819893,21.104088,1125,1125,HUVEC-01,4,F11
-3.114108,-49.40777,1117,1117,HUVEC-13,3,C22
-11.953231,16.433569,1126,1126,HUVEC-17,2,J03
-23.461464,-8.675624,1136,1136,HEPG2-02,2,C15
-2.180536,-8.671745,1138,1138,HUVEC-07,3,M05
26.03895,8.499502,1108,1108,HEPG2-07,1,M11
-31.756035,22.570583,1125,1125,HUVEC-24,1,F07
-0.0699994,-48.852646,1117,1128,HUVEC-10,1,J11
1.034269,2.86953,1138,1138,U2OS-03,4,B02
-30.960232,42.518696,1137,1137,HUVEC-03,3,J07
-30.402918,40.894897,1137,1137,HUVEC-04,1,M15
-32.259586,1.5675834,1123,1123,HEPG2-03,3,F03
28.589584,23.624668,1129,1129,RPE-05,3,H15
-13.35933,66.076805,1134,1134,HUVEC-07,3,M11
-0.8314619,16.609207,1126,1126,RPE-05,1,F11
30.171028,-21.101873,1130,1130,HEPG2-03,1,J07
31.76724,-33.52091,1130,1130,U2OS-01,1,J03
-24.97872,-8.61273,1136,1136,HEPG2-07,2,C22
-7.2282267,37.10278,1134,1134,HEPG2-01,1,J15
15.794111,-23.443886,1131,1131,HEPG2-04,2,H07
21.312592,54.286644,1115,1115,HUVEC-22,1,C11
22.218779,-34.132027,1130,1130,HUVEC-03,4,M22
8.423795,34.58677,1124,1124,HEPG2-04,1,J22
41.877766,-0.4869599,1108,1108,HUVEC-06,4,H22
40.5087,-37.9437,1130,1130,RPE-04,4,H19
42.920277,-21.414148,1133,1133,HUVEC-06,1,M19
53.95136,24.575874,1121,1121,HUVEC-06,1,F19
33.81827,35.790516,1129,1129,HUVEC-12,4,J11
-13.539899,66.483765,1134,1134,HUVEC-03,1,F15
-1.726726,48.427856,1124,1124,RPE-06,3,H15
-5.5393343,-53.913494,1117,1117,HUVEC-06,1,C03
56.163086,27.377224,1121,1121,HUVEC-16,1,M15
-13.66,64.35076,1134,1134,HUVEC-09,3,C19
2.4694777,69.3709,1134,1134,RPE-06,2,J11
65.79414,-6.0152044,1124,1124,HUVEC-05,4,F15
70.37592,-8.061523,1124,1124,HUVEC-03,3,J19
-19.81278,-24.74882,1128,1128,HEPG2-11,4,F19
-25.65547,11.63529,1125,1125,HEPG2-04,1,J19
-23.764051,-59.99168,1135,1135,HUVEC-19,3,F19
-0.6067684,-2.7716117,1108,1108,HUVEC-18,4,C03
2.4357934,70.29502,1134,1134,RPE-05,2,H22
-12.009061,63.81722,1134,1134,HUVEC-12,4,M15
44.37064,-18.154776,1133,1133,HUVEC-15,4,C19
9.796177,-19.493118,1131,1131,U2OS-03,2,J15
23.723011,-35.18792,1130,1130,HUVEC-06,3,F15
5.4278455,-38.551426,1128,1128,HEPG2-04,1,C11
25.047178,-38.584568,1130,1130,HUVEC-24,1,J07
53.3791,15.852118,1121,1121,U2OS-02,4,M11
-0.74697,15.182441,1126,1126,RPE-09,2,J07
26.98542,8.3883915,1108,1108,HEPG2-07,4,F03
-0.8987114,-5.360809,1138,1138,HUVEC-04,2,B02
-18.272772,-24.1279,1128,1128,HEPG2-07,1,C19
10.055948,-66.505,1131,1131,HUVEC-07,3,J22
22.536627,57.036217,1115,1115,HUVEC-02,1,J03
-18.128738,0.9188978,1109,1109,HEPG2-02,2,J15
-18.768047,32.168324,1137,1137,HEPG2-10,2,F15
-31.433346,42.38029,1137,1137,HUVEC-24,3,F22
-47.37418,-40.607063,1109,1109,RPE-02,1,J07
-6.2240033,-54.03538,1117,1117,HUVEC-06,2,H22
-30.770876,34.91528,1137,1137,HUVEC-05,3,M15
-28.01489,39.268166,1137,1137,HUVEC-22,4,C03
-4.365427,-55.55749,1117,1117,HUVEC-02,2,C03
-25.299976,-8.768337,1136,1136,HEPG2-06,3,J11
-51.903862,24.775213,1116,1116,HUVEC-05,2,H19
9.881691,-19.661224,1131,1131,U2OS-01,4,F11
-58.762566,10.959278,1123,1123,RPE-03,4,H15
43.70365,-22.170895,1133,1133,HUVEC-17,1,M07
-40.55208,11.391646,1125,1125,RPE-09,3,C22
9.548849,-68.1394,1131,1131,HUVEC-01,2,J07
27.220217,-53.45456,1131,1131,RPE-05,3,M11
9.482553,-69.08325,1131,1131,HUVEC-02,4,J07
28.73244,-6.767424,1133,1133,RPE-06,3,C11
-34.12704,22.56121,1125,1125,HUVEC-12,3,M11
-2.4875116,-50.906017,1117,1117,HUVEC-13,1,M11
2.7357898,-51.038746,1117,1117,HUVEC-18,1,F15
-32.88188,40.122856,1137,1137,HUVEC-18,4,M22
-5.7076764,-50.57303,1128,1128,HUVEC-24,1,C07
-18.376766,-23.29715,1128,1128,HEPG2-07,4,H11
-19.244904,31.93949,1137,1137,HEPG2-07,2,J07
0.095527,-46.136356,1128,1128,HUVEC-07,1,J11
10.65171,-67.841484,1131,1131,HUVEC-22,1,H03
-39.719017,11.456392,1125,1125,RPE-08,4,M11
-40.554855,-6.4808993,1136,1136,HUVEC-06,2,C19
17.082989,41.265007,1129,1129,HUVEC-04,4,M15
-0.7870804,24.058632,1126,1126,HEPG2-09,4,M03
-47.1984,-42.84128,1109,1109,RPE-04,2,M03
7.8978496,16.880241,1115,1115,HEPG2-01,4,C19
-10.542744,-15.029518,1116,1116,RPE-06,4,F22
20.413343,-36.921818,1130,1130,HUVEC-02,3,M11
44.597076,-21.12411,1133,1133,HUVEC-04,4,J15
3.7381964,-48.17656,1128,1128,HUVEC-19,3,J19
-2.664733,-51.90177,1128,1128,HUVEC-24,4,F15
69.940895,-8.706302,1124,1124,HUVEC-24,4,H15
27.169083,8.315207,1108,1108,HEPG2-06,4,H22
-25.236313,-46.129055,1135,1135,U2OS-01,1,M15
19.517792,58.98265,1115,1115,HUVEC-09,3,J22
42.053764,20.131342,1121,1121,RPE-05,3,H22
-9.632579,34.89911,1134,1134,HEPG2-03,3,F19
-4.2778263,-26.928225,1128,1128,RPE-09,3,F15
-15.0311985,65.70852,1134,1134,HUVEC-16,1,C11
41.54855,-39.52945,1130,1130,RPE-11,3,H03
43.326107,-18.042429,1133,1133,HUVEC-22,3,F15
-0.9291591,-4.21303,1138,1138,HUVEC-23,3,B02
23.001053,29.953459,1129,1129,HEPG2-06,4,J19
-41.76209,11.329713,1125,1125,RPE-09,1,H03
-2.2987363,-50.862396,1128,1128,HUVEC-11,3,H07
-43.724934,-6.406093,1136,1136,HUVEC-17,4,M19
-9.49504,34.983803,1134,1134,HEPG2-05,2,M03
-52.27835,29.122679,1116,1116,HUVEC-08,2,M07
10.218731,-67.119,1131,1131,HUVEC-13,2,H03
-14.117342,-2.985546,1109,1109,U2OS-01,3,F11
-0.8580119,-6.7313714,1138,1138,HUVEC-04,1,B02
18.446108,-11.22394,1116,1116,HEPG2-10,4,F22
-55.17422,-21.705286,1109,1109,HUVEC-21,1,M03
-52.520996,29.880661,1116,1116,HUVEC-12,4,H07
40.82568,-38.220547,1130,1130,RPE-02,3,F11
-3.2690108,-29.13804,1128,1128,RPE-06,2,C22
-0.97807384,48.529457,1124,1124,RPE-04,2,J22
-1.7352222,16.966185,1126,1126,RPE-04,3,F07
-30.57126,-37.178314,1135,1135,RPE-04,2,J07
-2.1055589,-10.472949,1138,1138,HUVEC-20,3,B02
0.3579887,15.133539,1126,1126,RPE-09,3,J03
-69.74396,-3.5366583,1123,1123,HUVEC-20,4,M11
21.870787,-35.649094,1130,1130,HUVEC-11,2,M03
19.171574,55.20084,1115,1115,HUVEC-23,3,H11
29.438208,23.688993,1129,1129,RPE-09,3,C15
-7.9883175,35.30326,1134,1134,HEPG2-03,3,F19
-10.466649,35.94369,1134,1134,HEPG2-04,3,C22
28.183132,-21.162245,1130,1130,HEPG2-07,3,F19
17.69897,41.947052,1129,1129,HUVEC-02,1,M11
19.02343,40.684937,1129,1129,HUVEC-17,3,J11
4.152179,-18.721342,1116,1116,U2OS-04,3,F03
17.835325,40.904076,1129,1129,HUVEC-17,2,F07
-21.338072,-41.38689,1135,1135,HEPG2-01,1,F22
14.886004,23.129414,1115,1115,U2OS-02,2,H07
54.42009,24.529058,1121,1121,HUVEC-22,1,M07
-19.812384,41.446503,1137,1137,U2OS-02,4,F11
53.27711,28.90425,1121,1121,HUVEC-24,4,F19
10.81936,-5.6701584,1138,1138,RPE-07,2,B02
40.500748,-37.9992,1130,1130,RPE-03,3,J19
-20.097586,-41.496292,1135,1135,HEPG2-10,3,M22
-50.52951,-21.36122,1109,1109,HUVEC-01,4,J22
-1.2755821,-29.852142,1117,1117,RPE-03,4,F15
7.2504253,4.4861026,1138,1138,HEPG2-04,2,B02
-0.5054585,25.345943,1126,1126,HEPG2-11,3,H19
-46.743824,-41.540638,1109,1109,RPE-11,2,H22
-9.529306,35.43246,1134,1134,HEPG2-04,2,H19
-55.345745,29.831324,1116,1116,HUVEC-02,3,H07
-3.334456,-29.837831,1128,1128,RPE-11,1,J11
1.2836484,69.907005,1134,1134,RPE-06,3,M03
-12.509861,60.305817,1134,1134,HUVEC-18,4,M11
-45.579025,-40.792645,1109,1109,RPE-05,4,H22
5.363058,-19.70828,1116,1116,U2OS-03,4,J15
-50.447075,-21.12643,1109,1109,HUVEC-24,1,M19
23.998362,-36.20517,1130,1130,HUVEC-03,1,M11
-46.670803,-7.024588,1136,1136,HUVEC-08,1,C22
40.40066,-39.93703,1130,1130,RPE-08,4,J19
-1.931823,10.228275,1126,1126,U2OS-01,4,M07
47.263763,-0.9054848,1108,1108,HUVEC-02,4,F22
-34.01396,-20.324614,1136,1136,RPE-09,2,C11
-0.8311857,26.164251,1126,1126,HEPG2-08,3,M11
-71.46416,-0.975539,1123,1123,HUVEC-22,2,H15
37.17606,10.979024,1108,1108,RPE-03,2,C03
5.274769,-20.216349,1116,1116,U2OS-05,1,H22
-24.065355,-59.531967,1135,1135,HUVEC-18,3,M15
28.428587,-55.083096,1131,1131,RPE-07,4,H15
-11.12659,-15.720044,1116,1116,RPE-08,2,F22
-0.7546908,-27.420927,1117,1117,RPE-11,3,J15
22.476007,-36.785007,1130,1130,HUVEC-04,3,J11
23.372938,29.697199,1129,1129,HEPG2-07,1,C11
4.3998985,-37.980984,1128,1128,HEPG2-01,4,H11
55.39321,26.50337,1121,1121,HUVEC-22,4,C22
